,Quarter,Tm,Detail,HOU,GNB
0,1.0,Oilers,Earl Campbell 1 yard rush,6,0
1,2.0,Packers,Jan Stenerud 27 yard field goal,6,3
2,2.0,Oilers,Chester Marcol 27 yard field goal,9,3
3,4.0,Oilers,Earl Campbell 24 yard rush (Chester Marcol kick),16,3
4,4.0,Oilers,John Corker 43 yard defensive fumble return,22,3
