,Quarter,Tm,Detail,CIN,DEN
0,1.0,Broncos,Mike Young 52 yard pass from John Elway (David Treadwell kick),0,7
1,1.0,Bengals,Michael Barber 42 yard pass from Boomer Esiason (Jim Breech kick),7,7
2,2.0,Broncos,John Elway 3 yard rush (David Treadwell kick),7,14
3,2.0,Broncos,Greg Lewis 1 yard rush (David Treadwell kick),7,21
4,2.0,Broncos,Reggie Johnson 1 yard pass from John Elway (David Treadwell kick),7,28
5,3.0,Bengals,Tim McGee 25 yard pass from Boomer Esiason (Jim Breech kick),14,28
6,3.0,Broncos,Tyrone Braxton 52 yard interception return (David Treadwell kick),14,35
7,4.0,Broncos,John Elway 5 yard rush (David Treadwell kick),14,42
8,4.0,Broncos,David Treadwell 19 yard field goal,14,45
