,Quarter,Time,Tm,Detail,HOU,CIN
0,1.0,,Bengals,Doug Pelfrey 50 yard field goal,0,3
1,1.0,,Oilers,Haywood Jeffires 11 yard pass from Billy Joe Tolliver (Al Del Greco kick),7,3
2,1.0,,Oilers,Al Del Greco 34 yard field goal,10,3
3,2.0,,Bengals,Carl Pickens 21 yard pass from Jeff Blake (Doug Pelfrey kick),10,10
4,2.0,,Oilers,Gary Brown 1 yard rush (Al Del Greco kick),17,10
5,2.0,,Bengals,Derrick Fenner 14 yard pass from Jeff Blake (Doug Pelfrey kick),17,17
6,3.0,,Oilers,Lorenzo White 17 yard rush (Al Del Greco kick),24,17
7,4.0,,Bengals,Carl Pickens 50 yard pass from Jeff Blake (Doug Pelfrey kick),24,24
8,4.0,,Oilers,Webster Slaughter 5 yard pass from Billy Joe Tolliver (Al Del Greco kick),31,24
9,4.0,,Bengals,Carl Pickens 21 yard pass from Jeff Blake (Doug Pelfrey kick),31,31
10,4.0,,Bengals,Doug Pelfrey 40 yard field goal,31,34
