,Quarter,Tm,Detail,DEN,ATL
0,1,Broncos,Norris Weese 10 yard rush (Jim Turner kick),7,0
1,2,Falcons,William Andrews 3 yard pass from Steve Bartkowski (Tim Mazzetti kick),7,7
2,2,Broncos,Jim Turner 24 yard field goal,10,7
3,2,Falcons,Tim Mazzetti 25 yard field goal,10,10
4,3,Broncos,Norris Weese 1 yard rush (Jim Turner kick),17,10
5,4,Falcons,Wallace Francis 22 yard pass from Steve Bartkowski (Tim Mazzetti kick),17,17
6,OT,Broncos,Jim Turner 24 yard field goal,20,17
