,Quarter,Time,Tm,Detail,HOU,RAI
0,1.0,,Raiders,Harvey Williams 2 yard rush (Jeff Jaeger kick),0,7
1,2.0,,Oilers,Billy Joe Tolliver 6 yard rush (Al Del Greco kick),7,7
2,3.0,,Raiders,Jeff Jaeger 35 yard field goal,7,10
3,4.0,,Oilers,Haywood Jeffires 7 yard pass from Billy Joe Tolliver (Al Del Greco kick),14,10
4,4.0,,Raiders,Tim Brown 11 yard pass from Jeff Hostetler (Jeff Jaeger kick),14,17
