,Quarter,Time,Tm,Detail,ARI,SEA
0,1.0,8:54,Seahawks,Nick Bellore 3 yard pass from Russell Wilson (Jason Myers kick),0,7
1,1.0,8:45,Cardinals,Kenyan Drake 80 yard rush (Zane Gonzalez kick),7,7
2,2.0,4:29,Cardinals,Larry Fitzgerald 21 yard pass from Kyler Murray (Zane Gonzalez kick),14,7
3,2.0,0:25,Cardinals,Zane Gonzalez 22 yard field goal,17,7
4,3.0,11:40,Cardinals,Zane Gonzalez 46 yard field goal,20,7
5,4.0,15:00,Seahawks,Jason Myers 30 yard field goal,20,10
6,4.0,10:07,Seahawks,Jason Myers 51 yard field goal,20,13
7,4.0,4:22,Cardinals,Kenyan Drake 3 yard rush (Zane Gonzalez kick),27,13
