,Quarter,Tm,Detail,CHI,RAM
0,1.0,Bears,Mike Ditka 47 yard pass from Ed Brown (Roger LeClerc kick),7,0
1,1.0,Rams,Danny Villanueva 38 yard field goal,7,3
2,2.0,Rams,Jon Arnett 1 yard rush (Danny Villanueva kick),7,10
3,3.0,Bears,Billy Wade 3 yard rush (Roger LeClerc kick),14,10
4,4.0,Bears,Bo Farrington 34 yard pass from Billy Wade (Roger LeClerc kick),21,10
5,4.0,Rams,Jon Arnett 1 yard rush (Danny Villanueva kick),21,17
