,Quarter,Tm,Detail,RAI,SDG
0,1.0,Chargers,Vince Abbott 40 yard field goal,0,3
1,2.0,Raiders,Chris Bahr 36 yard field goal,3,3
2,4.0,Raiders,Trey Junkin 7 yard pass from Steve Beuerlein (Chris Bahr kick),10,3
3,4.0,Raiders,Chris Bahr 29 yard field goal,13,3
