,Quarter,Tm,Detail,NYJ,NYG
0,1.0,Jets,Johnny Hector 14 yard rush (Pat Leahy kick),7,0
1,2.0,Giants,Raul Allegre 29 yard field goal,7,3
2,2.0,Giants,Mark Bavaro 12 yard pass from Phil Simms (Raul Allegre kick),7,10
3,2.0,Giants,Odessa Turner 16 yard pass from Phil Simms (Raul Allegre kick),7,17
4,3.0,Giants,Raul Allegre 23 yard field goal,7,20
