,Quarter,Time,Tm,Detail,PHI,KAN
0,1.0,11:22,Chiefs,Cairo Santos 34 yard field goal,0,3
1,1.0,4:28,Eagles,Jake Elliott 34 yard field goal,3,3
2,2.0,0:17,Chiefs,Cairo Santos 39 yard field goal,3,6
3,3.0,4:08,Eagles,Alshon Jeffery 16 yard pass from Carson Wentz (Jake Elliott kick),10,6
4,3.0,1:20,Chiefs,Kareem Hunt 53 yard rush (Cairo Santos kick),10,13
5,4.0,11:57,Eagles,Jake Elliott 40 yard field goal,13,13
6,4.0,6:25,Chiefs,Travis Kelce 15 yard pass from Alex Smith (Cairo Santos kick),13,20
7,4.0,2:14,Chiefs,Kareem Hunt 2 yard rush (Cairo Santos kick),13,27
8,4.0,0:08,Eagles,Nelson Agholor 9 yard pass from Carson Wentz (Jake Elliott kick),20,27
