,Quarter,Time,Tm,Detail,BAL,KAN
0,1.0,9:01,Ravens,Billy Cundiff 19 yard field goal,3,0
1,1.0,2:09,Chiefs,Jamaal Charles 41 yard rush (Ryan Succop kick),3,7
2,2.0,0:19,Ravens,Ray Rice 9 yard pass from Joe Flacco (Billy Cundiff kick),10,7
3,3.0,6:36,Ravens,Billy Cundiff 29 yard field goal,13,7
4,3.0,4:20,Ravens,Billy Cundiff 29 yard field goal,16,7
5,3.0,0:27,Ravens,Anquan Boldin 4 yard pass from Joe Flacco (Billy Cundiff kick),23,7
6,4.0,4:26,Ravens,Willis McGahee 25 yard rush (Billy Cundiff kick),30,7
