,Quarter,Time,Tm,Detail,PIT,TEN
0,1.0,10:45,Steelers,Shaun Suisham 49 yard field goal,3,0
1,1.0,10:37,Steelers,William Gay 28 yard interception return (Shaun Suisham kick),10,0
2,1.0,8:08,Titans,Bishop Sankey 9 yard rush (Ryan Succop kick),10,7
3,1.0,1:03,Steelers,Shaun Suisham 23 yard field goal,13,7
4,2.0,11:12,Titans,Ryan Succop 20 yard field goal,13,10
5,2.0,0:32,Titans,Nate Washington 80 yard pass from Zach Mettenberger (Ryan Succop kick),13,17
6,3.0,3:42,Titans,Chase Coffman 4 yard pass from Zach Mettenberger (Ryan Succop kick),13,24
7,4.0,14:51,Steelers,Le'Veon Bell 5 yard rush (Shaun Suisham kick),20,24
8,4.0,9:01,Steelers,Antonio Brown 12 yard pass from Ben Roethlisberger (Shaun Suisham kick),27,24
