,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Brett Favre 2 yard rush (Chris Jacke kick),7,0
1,1.0,Vikings,Fuad Reveiz 35 yard field goal,7,3
2,2.0,Vikings,Fuad Reveiz 19 yard field goal,7,6
3,2.0,Packers,Chris Jacke 49 yard field goal,10,6
4,3.0,Vikings,Fuad Reveiz 29 yard field goal,10,9
5,3.0,Vikings,Fuad Reveiz 51 yard field goal,10,12
6,4.0,Packers,Chris Jacke 20 yard field goal,13,12
7,4.0,Vikings,Fuad Reveiz 22 yard field goal,13,15
