,Quarter,Tm,Detail,PHI,STL
0,1.0,Eagles,Jim Kelly 14 yard pass from Norm Snead (Sam Baker kick),7,0
1,1.0,Cardinals,Jim Bakken 32 yard field goal,7,3
2,1.0,Eagles,Ben Hawkins 87 yard pass from Norm Snead (Sam Baker kick),14,3
3,2.0,Cardinals,Jim Bakken 47 yard field goal,14,6
4,2.0,Cardinals,Bobby Joe Conrad 31 yard pass from Jim Hart (Jim Bakken kick),14,13
5,2.0,Cardinals,Dave Williams 14 yard pass from Jim Hart (Jim Bakken kick),14,20
6,3.0,Cardinals,Jackie Smith 8 yard pass from Jim Hart (Jim Bakken kick),14,27
7,3.0,Cardinals,Johnny Roland 3 yard rush (Jim Bakken kick),14,34
8,3.0,Cardinals,Pat Fischer 69 yard interception return (Jim Bakken kick),14,41
9,4.0,Cardinals,Jackie Smith 74 yard pass from Jim Hart (Jim Bakken kick),14,48
