,Quarter,Time,Tm,Detail,NOR,CIN
0,1.0,8:44,Saints,Garrett Hartley 48 yard field goal,3,0
1,2.0,13:03,Bengals,Clint Stitser 29 yard field goal,3,3
2,2.0,12:02,Saints,Chris Ivory 55 yard rush (Garrett Hartley kick),10,3
3,2.0,9:41,Bengals,Clint Stitser 23 yard field goal,10,6
4,2.0,0:13,Saints,Garrett Hartley 24 yard field goal,13,6
5,3.0,9:06,Saints,Chris Ivory 1 yard rush (Garrett Hartley kick),20,6
6,3.0,3:54,Bengals,Terrell Owens 5 yard pass from Carson Palmer (Clint Stitser kick failed),20,12
7,4.0,13:38,Bengals,Cedric Benson 1 yard rush (Clint Stitser kick),20,19
8,4.0,12:13,Saints,Robert Meachem 52 yard pass from Drew Brees (Garrett Hartley kick),27,19
9,4.0,8:08,Bengals,Cedric Benson 4 yard rush (Jermaine Gresham pass from Carson Palmer),27,27
10,4.0,4:25,Bengals,Clint Stitser 47 yard field goal,27,30
11,4.0,0:31,Saints,Marques Colston 3 yard pass from Drew Brees (Garrett Hartley kick),34,30
