,Quarter,Tm,Detail,GNB,CIN
0,1.0,Bengals,Pete Johnson 1 yard rush,0,6
1,1.0,Packers,Lynn Dickey 1 yard rush (Jan Stenerud kick),7,6
2,2.0,Bengals,Pete Johnson 5 yard rush (Jim Breech kick),7,13
3,2.0,Bengals,Turk Schonert 4 yard rush (Jim Breech kick),7,20
4,2.0,Bengals,Cris Collinsworth 2 yard pass from Turk Schonert (Jim Breech kick),7,27
5,3.0,Packers,Paul Coffman 11 yard pass from Gerry Ellis (Jan Stenerud kick),14,27
6,4.0,Bengals,Steve Kreider 10 yard pass from Turk Schonert (Jim Breech kick),14,34
