,Quarter,Time,Tm,Detail,IND,PIT
0,1.0,7:12,Colts,Adam Vinatieri 25 yard field goal,3,0
1,1.0,1:01,Steelers,Chris Boswell 21 yard field goal,3,3
2,2.0,12:02,Colts,Jack Doyle 11 yard pass from Brian Hoyer (Adam Vinatieri kick),10,3
3,2.0,2:36,Steelers,Minkah Fitzpatrick 96 yard interception return (Chris Boswell kick),10,10
4,2.0,0:47,Colts,Zach Pascal 14 yard pass from Brian Hoyer (Adam Vinatieri kick failed),16,10
5,2.0,0:00,Steelers,Chris Boswell 51 yard field goal,16,13
6,3.0,5:30,Steelers,Vance McDonald 7 yard pass from Mason Rudolph (Chris Boswell kick),16,20
7,3.0,1:12,Colts,"Safety, Justin Houston",18,20
8,4.0,15:00,Steelers,Chris Boswell 33 yard field goal,18,23
9,4.0,8:47,Colts,Chester Rogers 4 yard pass from Brian Hoyer (pass failed),24,23
10,4.0,6:39,Steelers,Chris Boswell 26 yard field goal,24,26
