,Quarter,Tm,Detail,BAL,MIA
0,1.0,Dolphins,"Safety, Bokamper blocked punt out of end zone",0,2
1,2.0,Dolphins,Nat Moore 33 yard pass from Bob Griese (Garo Yepremian kick),0,9
2,2.0,Colts,Glenn Doughty 32 yard pass from Mike Kirkland,6,9
3,2.0,Dolphins,Duriel Harris 63 yard pass from Bob Griese (Garo Yepremian kick),6,16
4,2.0,Dolphins,Garo Yepremian 32 yard field goal,6,19
5,2.0,Dolphins,Vern Den Herder 7 yard pass from Don Strock (Garo Yepremian kick),6,26
6,4.0,Colts,"Safety, Burke forced Roberts out of end zone",8,26
