,Quarter,Tm,Detail,GNB,RAM
0,2.0,Packers,Gerry Ellis 3 yard rush (Jan Stenerud kick),7,0
1,2.0,Rams,Joe Harris 21 yard defensive fumble return (Frank Corral kick),7,7
2,2.0,Rams,Wendell Tyler 2 yard rush (Frank Corral kick),7,14
3,2.0,Packers,Jan Stenerud 19 yard field goal,10,14
4,3.0,Packers,Jan Stenerud 23 yard field goal,13,14
5,3.0,Packers,Jan Stenerud 44 yard field goal,16,14
6,3.0,Rams,Drew Hill 30 yard pass from Jeff Rutledge (Frank Corral kick),16,21
7,4.0,Rams,Cullen Bryant 2 yard rush (Frank Corral kick),16,28
8,4.0,Rams,Wendell Tyler 1 yard rush (Frank Corral kick),16,35
9,4.0,Packers,James Lofton 19 yard pass from Lynn Dickey (Jan Stenerud kick),23,35
