,Quarter,Tm,Detail,BAL,MIA
0,1.0,Dolphins,Jim Mandich 4 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,1.0,Colts,"Safety, Laird tackled Malone in end zone",2,7
2,2.0,Dolphins,Don Nottingham 5 yard rush (Garo Yepremian kick),2,14
3,2.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),9,14
4,3.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),16,14
5,3.0,Colts,Toni Linhart 42 yard field goal,19,14
6,4.0,Dolphins,Garo Yepremian 28 yard field goal,19,17
7,4.0,Colts,Lydell Mitchell 32 yard rush (Toni Linhart kick),26,17
8,4.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),33,17
