,Quarter,Tm,Detail,RAM,SFO
0,1.0,Rams,Tony Zendejas 50 yard field goal,3,0
1,1.0,49ers,Ricky Watters 1 yard rush,3,6
2,2.0,49ers,John Taylor 15 yard pass from Steve Young (Mike Cofer kick),3,13
3,2.0,49ers,Marc Logan 1 yard rush (Mike Cofer kick),3,20
4,2.0,49ers,Mike Cofer 25 yard field goal,3,23
5,3.0,Rams,Todd Kinchen 35 yard pass from T.J. Rubley (Tony Zendejas kick),10,23
6,3.0,49ers,Marc Logan 1 yard rush (Mike Cofer kick),10,30
7,4.0,Rams,Jerome Bettis 1 yard rush (Tony Zendejas kick),17,30
8,4.0,49ers,Mike Cofer 28 yard field goal,17,33
9,4.0,49ers,Michael McGruder 32 yard interception return (Mike Cofer kick),17,40
