,Quarter,Tm,Detail,NYG,CIN
0,1.0,Giants,Stephen Baker 15 yard pass from Phil Simms (Matt Bahr kick),7,0
1,1.0,Bengals,Tim McGee 41 yard pass from Boomer Esiason (Jim Breech kick),7,7
2,2.0,Giants,Stephen Baker 13 yard pass from Phil Simms (Matt Bahr kick),14,7
3,3.0,Giants,Matt Bahr 37 yard field goal,17,7
4,3.0,Bengals,Jim Breech 35 yard field goal,17,10
5,4.0,Bengals,Harold Green 1 yard rush (Jim Breech kick),17,17
6,4.0,Bengals,Jim Breech 35 yard field goal,17,20
7,4.0,Bengals,Mitchell Price 78 yard punt return (Jim Breech kick),17,27
8,4.0,Giants,Mark Ingram 19 yard pass from Phil Simms (Matt Bahr kick),24,27
