,Quarter,Tm,Detail,DAL,STL
0,2.0,Cowboys,Don Meredith 1 yard rush (Sam Baker kick),7,0
1,2.0,Cardinals,Sonny Randle 62 yard pass from Charley Johnson (Jim Bakken kick),7,7
2,2.0,Cardinals,Bill Triplett 16 yard pass from Charley Johnson (Jim Bakken kick),7,14
3,2.0,Cowboys,Bob Lilly 42 yard defensive fumble return (Sam Baker kick),14,14
4,3.0,Cardinals,Larry Wilson 35 yard rush (Jim Bakken kick),14,21
5,3.0,Cardinals,Jim Bakken 11 yard field goal,14,24
6,4.0,Cowboys,Pettis Norman 12 yard pass from Don Meredith (Sam Baker kick),21,24
7,4.0,Cowboys,Frank Clarke 25 yard pass from Don Meredith (Sam Baker kick),28,24
