,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Tommy McDonald 52 yard pass from Norm Van Brocklin (Bobby Walston kick),7,0
1,1.0,Redskins,Joe Walton 30 yard pass from Ralph Guglielmi (Bob Khayat kick),7,7
2,2.0,Eagles,Tommy McDonald 64 yard pass from Norm Van Brocklin (Bobby Walston kick),14,7
3,2.0,Redskins,Dick James 5 yard rush (Bob Khayat kick),14,14
4,2.0,Eagles,Bobby Walston 23 yard field goal,17,14
5,3.0,Eagles,Timmy Brown 34 yard pass from Sonny Jurgensen (Bobby Walston kick),24,14
6,3.0,Redskins,Bill Anderson 15 yard pass from Ralph Guglielmi (Bob Khayat kick),24,21
7,4.0,Eagles,Timmy Brown 5 yard rush (Bobby Walston kick),31,21
8,4.0,Eagles,Pete Retzlaff 57 yard pass from Sonny Jurgensen (Bobby Walston kick),38,21
9,4.0,Redskins,Dick James 1 yard rush (Bob Khayat kick),38,28
