,Quarter,Time,Tm,Detail,BUF,SFO
0,1.0,7:25,49ers,David Akers 19 yard field goal,0,3
1,2.0,10:46,Bills,Rian Lindell 31 yard field goal,3,3
2,2.0,9:54,49ers,Kyle Williams 43 yard pass from Alex Smith (David Akers kick),3,10
3,2.0,0:24,49ers,Michael Crabtree 28 yard pass from Alex Smith (David Akers kick),3,17
4,3.0,9:06,49ers,Frank Gore 1 yard rush (David Akers kick),3,24
5,4.0,14:12,49ers,Mario Manningham 10 yard pass from Alex Smith (David Akers kick),3,31
6,4.0,9:55,49ers,Colin Kaepernick 16 yard rush (David Akers kick),3,38
7,4.0,1:11,49ers,Anthony Dixon 3 yard rush (David Akers kick),3,45
