,Quarter,Time,Tm,Detail,SFO,MIN
0,1.0,3:56,Vikings,Daniel Carlson 48 yard field goal,0,3
1,2.0,13:39,Vikings,Stefon Diggs 22 yard pass from Kirk Cousins (Daniel Carlson kick),0,10
2,2.0,11:42,49ers,Robbie Gould 42 yard field goal,3,10
3,3.0,10:41,Vikings,Mike Hughes 28 yard interception return (Daniel Carlson kick),3,17
4,3.0,9:15,49ers,Robbie Gould 33 yard field goal,6,17
5,3.0,4:22,Vikings,Kyle Rudolph 11 yard pass from Kirk Cousins (Daniel Carlson kick),6,24
6,3.0,0:31,49ers,Dante Pettis 22 yard pass from Jimmy Garoppolo (Robbie Gould kick),13,24
7,4.0,8:09,49ers,Robbie Gould 22 yard field goal,16,24
