,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Jets,Jerome Barkum 15 yard pass from Richard Todd (Pat Leahy kick),7,0
1,1.0,Dolphins,Andra Franklin 2 yard rush (Uwe von Schamann kick),7,7
2,1.0,Jets,Wesley Walker 9 yard pass from Richard Todd (Pat Leahy kick),14,7
3,2.0,Dolphins,Nat Moore 6 yard pass from Don Strock (Uwe von Schamann kick),14,14
4,3.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),14,21
5,4.0,Jets,Wesley Walker 14 yard pass from Richard Todd (Pat Leahy kick),21,21
6,4.0,Dolphins,Nat Moore 23 yard pass from Don Strock (Uwe von Schamann kick),21,28
7,4.0,Jets,Bobby Jones 36 yard pass from Richard Todd (Pat Leahy kick),28,28
