,Quarter,Time,Tm,Detail,CAR,HOU
0,1.0,2:28,Panthers,Joey Slye 48 yard field goal,3,0
1,2.0,8:03,Texans,Ka'imi Fairbairn 37 yard field goal,3,3
2,2.0,1:11,Panthers,Christian McCaffrey 3 yard rush (Joey Slye kick),10,3
3,3.0,8:44,Texans,Deshaun Watson 1 yard rush (Ka'imi Fairbairn kick),10,10
4,4.0,14:55,Panthers,Joey Slye 55 yard field goal,13,10
5,4.0,0:31,Panthers,Joey Slye 26 yard field goal,16,10
