,Quarter,Tm,Detail,RAM,SDG
0,2,Rams,Tom Dempsey 19 yard field goal,3,0
1,3,Chargers,Don Woods 7 yard rush (Ray Wersching kick),3,7
2,3,Chargers,Ray Wersching 36 yard field goal,3,10
3,3,Rams,James Harris 2 yard rush (Tom Dempsey kick),10,10
4,OT,Rams,Tom Dempsey 22 yard field goal,13,10
