,Quarter,Time,Tm,Detail,SDG,SEA
0,1.0,,Seahawks,Todd Peterson 41 yard field goal,0,3
1,2.0,5:39,Chargers,John Carney 22 yard field goal,3,3
2,2.0,5:39,Chargers,Rodney Harrison 75 yard interception return (John Carney kick),10,3
3,2.0,5:39,Chargers,John Carney 29 yard field goal,13,3
4,2.0,5:39,Seahawks,Mack Strong 5 yard pass from Warren Moon (Todd Peterson kick),13,10
5,2.0,5:39,Seahawks,Todd Peterson 37 yard field goal,13,13
6,2.0,5:39,Chargers,John Carney 26 yard field goal,16,13
7,4.0,5:39,Chargers,John Carney 41 yard field goal,19,13
8,4.0,5:39,Seahawks,Joey Galloway 53 yard pass from Warren Moon (Todd Peterson kick),19,20
9,4.0,5:39,Chargers,John Carney 41 yard field goal,22,20
10,4.0,5:39,Seahawks,Steve Broussard 1 yard rush (pass failed),22,26
