,Quarter,Time,Tm,Detail,ARI,WAS
0,1.0,10:40,Cardinals,Adrian Wilson 61 yard interception return (Cedric Oglesby kick),7,0
1,2.0,12:27,Redskins,Brett Conway 36 yard field goal,7,3
2,2.0,9:00,Cardinals,Thomas Jones 4 yard rush (Cedric Oglesby kick),14,3
3,2.0,3:46,Redskins,Brett Conway 33 yard field goal,14,6
4,2.0,0:13,Cardinals,Cedric Oglesby 26 yard field goal,17,6
5,3.0,3:19,Redskins,Walter Rasby 5 yard pass from Tony Banks (pass failed),17,12
6,4.0,3:11,Redskins,Stephen Davis 2 yard rush (two point pass successful),17,20
