,Quarter,Tm,Detail,CLE,PIT
0,2.0,Browns,Lou Groza 36 yard field goal,3,0
1,2.0,Browns,Clifton McNeil 25 yard pass from Frank Ryan (Lou Groza kick),10,0
2,2.0,Steelers,Clarence Peaks 5 yard rush (Mike Clark kick),10,7
3,2.0,Steelers,Mike Clark 26 yard field goal,10,10
4,3.0,Browns,Ernie Green 7 yard rush (Lou Groza kick),17,10
5,3.0,Browns,Lou Groza 22 yard field goal,20,10
6,4.0,Browns,Lou Groza 16 yard field goal,23,10
7,4.0,Steelers,John Henry Johnson 1 yard rush (Mike Clark kick),23,17
8,4.0,Browns,Ernie Green 13 yard rush (Lou Groza kick),30,17
