,Quarter,Tm,Detail,MIN,NOR
0,1.0,Vikings,Fred Cox 33 yard field goal,3,0
1,2.0,Saints,Charlie Durkee 19 yard field goal,3,3
2,2.0,Vikings,Fred Cox 47 yard field goal,6,3
3,3.0,Vikings,Bob Lee 4 yard rush (Fred Cox kick),13,3
4,4.0,Vikings,Clint Jones 4 yard rush (Fred Cox kick),20,3
5,4.0,Vikings,Fred Cox 32 yard field goal,23,3
6,4.0,Saints,Dave Parks 4 yard pass from Archie Manning (Charlie Durkee kick),23,10
