,Quarter,Time,Tm,Detail,TAM,CHI
0,1.0,14:44,Bears,Rashaan Salaam 15 yard rush (Kevin Butler kick),0,7
1,1.0,14:44,Buccaneers,Horace Copeland 20 yard pass from Trent Dilfer (Michael Husted kick),7,7
2,2.0,14:44,Bears,Rashaan Salaam 1 yard rush (Kevin Butler kick),7,14
3,2.0,14:44,Buccaneers,Michael Husted 50 yard field goal,10,14
4,3.0,14:44,Bears,Jeff Graham 47 yard pass from Erik Kramer (Kevin Butler kick),10,21
5,3.0,14:44,Bears,Kevin Butler 23 yard field goal,10,24
6,4.0,14:44,Bears,Rashaan Salaam 3 yard rush (Kevin Butler kick),10,31
