,Quarter,Time,Tm,Detail,ATL,DEN
0,1.0,9:25,Broncos,Patrick Hape 1 yard pass from Jake Plummer (Jason Elam kick),0,7
1,1.0,3:38,Falcons,Jay Feely 24 yard field goal,3,7
2,1.0,3:26,Broncos,Rod Smith 80 yard pass from Jake Plummer (Jason Elam kick),3,14
3,2.0,11:02,Falcons,T.J. Duckett 21 yard rush (Jay Feely kick),10,14
4,2.0,3:55,Falcons,Peerless Price 34 yard pass from Michael Vick (Jay Feely kick),17,14
5,2.0,0:19,Falcons,Jay Feely 43 yard field goal,20,14
6,3.0,10:36,Falcons,Warrick Dunn 5 yard rush (Jay Feely kick),27,14
7,4.0,14:17,Falcons,Peerless Price 25 yard pass from Michael Vick (Jay Feely kick),34,14
8,4.0,9:28,Broncos,Darius Watts 7 yard pass from Jake Plummer (Jason Elam kick),34,21
9,4.0,2:20,Falcons,Kevin Mathis 66 yard interception return (Jay Feely kick),41,21
10,4.0,0:57,Broncos,Ashley Lelie 35 yard pass from Jake Plummer (Jason Elam kick),41,28
