,Quarter,Tm,Detail,BKN,WAS
0,1.0,Redskins,Frank Filchock 5 yard rush (Bob Masterson kick),0,7
1,2.0,Redskins,Ed Justice 25 yard pass from Jimmy German (Bo Russell kick),0,14
2,2.0,Dodgers,Stan Kosel 9 yard pass from Ace Parker,6,14
3,3.0,Redskins,Andy Farkas 44 yard pass from Frank Filchock (Bob Masterson kick),6,21
4,3.0,Dodgers,Ace Parker 27 yard rush (Ralph Kercheval kick),13,21
5,4.0,Redskins,Andy Farkas unknown yard rush (Bo Russell kick),13,28
6,4.0,Redskins,Bo Russell blocked punt recovery in end zone (Bo Russell kick),13,35
7,4.0,Redskins,Dick Todd 17 yard rush,13,41
