,Quarter,Time,Tm,Detail,OAK,SEA
0,1.0,,Seahawks,Todd Peterson 38 yard field goal,0,3
1,1.0,,Raiders,Tim Brown 28 yard pass from Donald Hollas (Greg Davis kick),7,3
2,2.0,1:19,Seahawks,Carlester Crumpler 1 yard pass from Warren Moon (Todd Peterson kick),7,10
3,3.0,1:19,Raiders,Rickey Dudley 27 yard pass from Donald Hollas (Greg Davis kick),14,10
4,3.0,1:19,Raiders,Albert Lewis 74 yard interception return (Greg Davis kick),21,10
5,3.0,1:19,Seahawks,Ricky Watters 1 yard rush (Mike Pritchard pass from Warren Moon),21,18
6,4.0,1:19,Raiders,Greg Davis 35 yard field goal,24,18
7,4.0,1:19,Raiders,Darryl Ashmore 1 yard offensive fumble return (Greg Davis kick),31,18
