,Quarter,Time,Tm,Detail,ARI,STL
0,1.0,11:54,Rams,Jeff Wilkins 26 yard field goal,0,3
1,2.0,13:24,Rams,Dre' Bly 78 yard punt return (Jeff Wilkins kick),0,10
2,2.0,6:08,Cardinals,Marcel Shipp 5 yard rush (Bill Gramatica kick),7,10
3,2.0,1:03,Rams,Troy Edwards 4 yard pass from Marc Bulger (Jeff Wilkins kick),7,17
4,2.0,0:02,Rams,Torry Holt 3 yard pass from Marc Bulger (Jeff Wilkins kick),7,24
5,3.0,11:33,Cardinals,Marcel Shipp 80 yard pass from Jake Plummer (Bill Gramatica kick),14,24
6,3.0,5:08,Cardinals,Marcel Shipp 1 yard rush (Bill Gramatica kick),21,24
7,4.0,11:32,Rams,Jeff Wilkins 37 yard field goal,21,27
8,4.0,7:46,Cardinals,Steve Bush 1 yard pass from Jake Plummer (Bill Gramatica kick),28,27
9,4.0,0:20,Rams,Jeff Wilkins 26 yard field goal,28,30
