,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Jets,Brad Baxter 1 yard rush (Pat Leahy kick),7,0
1,1.0,Patriots,Jason Staurovsky 46 yard field goal,7,3
2,2.0,Jets,Rob Moore 69 yard pass from Ken O'Brien (Pat Leahy kick),14,3
3,2.0,Patriots,Jason Staurovsky 40 yard field goal,14,6
4,2.0,Jets,Pat Leahy 24 yard field goal,17,6
5,2.0,Jets,Freeman McNeil 4 yard rush (Pat Leahy kick),24,6
6,3.0,Jets,Brad Baxter 28 yard rush (Pat Leahy kick),31,6
7,3.0,Jets,Pat Leahy 18 yard field goal,34,6
8,4.0,Patriots,Bob Perryman 4 yard rush (Jason Staurovsky kick),34,13
9,4.0,Jets,Pat Leahy 46 yard field goal,37,13
