,Quarter,Tm,Detail,SFO,CHI
0,1.0,Bears,Rick Casares 12 yard pass from Rudy Bukich (Bob Jencks kick),0,7
1,1.0,Bears,Jon Arnett 10 yard pass from Rudy Bukich (Bob Jencks kick),0,14
2,1.0,49ers,Mike Lind 1 yard rush (Tommy Davis kick),7,14
3,2.0,Bears,Roger LeClerc 37 yard field goal,7,17
4,2.0,49ers,Dave Parks 10 yard pass from John Brodie (Tommy Davis kick),14,17
5,3.0,Bears,Roger LeClerc 20 yard field goal,14,20
6,4.0,49ers,Bernie Casey 7 yard pass from John Brodie (Tommy Davis kick),21,20
7,4.0,Bears,Roger LeClerc 20 yard field goal,21,23
