,Quarter,Tm,Detail,SDG,OAK
0,1.0,Raiders,Raymond Chester 34 yard pass from Ken Stabler (Jim Breech kick),0,7
1,1.0,Raiders,Booker Russell 1 yard rush (Jim Breech kick),0,14
2,2.0,Raiders,Mark van Eeghen 4 yard rush (Jim Breech kick),0,21
3,2.0,Chargers,John Jefferson 57 yard pass from Dan Fouts,6,21
4,2.0,Raiders,Jim Breech 38 yard field goal,6,24
5,3.0,Chargers,Mike Wood 28 yard field goal,9,24
6,3.0,Chargers,Dan Fouts 1 yard rush,15,24
7,3.0,Raiders,Ira Matthews 104 yard kickoff return (Jim Breech kick),15,31
8,3.0,Chargers,Bob Klein 7 yard pass from Dan Fouts (Mike Wood kick),22,31
9,4.0,Raiders,Booker Russell 1 yard rush (Jim Breech kick),22,38
10,4.0,Raiders,Booker Russell 1 yard rush (Jim Breech kick),22,45
