,Quarter,Tm,Detail,NYG,CRD
0,2.0,Giants,Pat Summerall 13 yard field goal,3,0
1,2.0,Giants,Pat Summerall 23 yard field goal,6,0
2,2.0,Giants,Alex Webster 37 yard pass from Frank Gifford (Pat Summerall kick),13,0
3,3.0,Cardinals,Billy Stacy 74 yard punt return (Bobby Joe Conrad kick),13,7
4,3.0,Cardinals,John David Crow 1 yard rush (Bobby Joe Conrad kick),13,14
5,3.0,Giants,Frank Gifford 33 yard pass from Charlie Conerly (Pat Summerall kick),20,14
6,4.0,Giants,Bob Schnelker 45 yard pass from Charlie Conerly (Pat Summerall kick),27,14
7,4.0,Giants,Pat Summerall 11 yard field goal,30,14
8,4.0,Cardinals,Bobby Joe Conrad 69 yard punt return,30,20
