,Quarter,Tm,Detail,BAL,DET
0,1.0,Lions,Doak Walker 40 yard field goal,0,3
1,2.0,Lions,Dave Middleton 43 yard pass from Bobby Layne (Doak Walker kick),0,10
2,2.0,Colts,Gary Kerkorian 2 yard rush (Bert Rechichar kick),7,10
3,3.0,Colts,Jim Mutscheller 13 yard pass from Gary Kerkorian (Bert Rechichar kick),14,10
4,4.0,Lions,Doak Walker 6 yard rush (Doak Walker kick),14,17
5,4.0,Lions,Doak Walker 1 yard rush (Doak Walker kick),14,24
