,Quarter,Tm,Detail,STL,BAL
0,1.0,Cardinals,Ottis Anderson 4 yard rush (Neil O'Donoghue kick),7,0
1,1.0,Colts,Curtis Dickey 36 yard rush (Mike Wood kick),7,7
2,1.0,Cardinals,Dave Ahrens 14 yard interception return (Neil O'Donoghue kick),14,7
3,1.0,Colts,Mike Wood 40 yard field goal,14,10
4,2.0,Cardinals,Neil Lomax 10 yard rush (Neil O'Donoghue kick),21,10
5,3.0,Colts,Roger Carr 5 yard pass from Bert Jones (Mike Wood kick),21,17
6,3.0,Cardinals,Wayne Morris 3 yard rush (Neil O'Donoghue kick),28,17
7,4.0,Colts,Ray Butler 8 yard pass from Bert Jones (Mike Wood kick),28,24
8,4.0,Cardinals,Ottis Anderson 11 yard rush (Neil O'Donoghue kick),35,24
