,Quarter,Tm,Detail,KAN,OAK
0,1.0,Chiefs,Jan Stenerud 20 yard field goal,3,0
1,2.0,Raiders,George Blanda 23 yard field goal,3,3
2,2.0,Raiders,George Blanda 35 yard field goal,3,6
3,3.0,Raiders,Marv Hubbard 6 yard rush (George Blanda kick),3,13
4,4.0,Raiders,Fred Biletnikoff 36 yard pass from Daryle Lamonica (George Blanda kick),3,20
5,4.0,Chiefs,Jan Stenerud 40 yard field goal,6,20
