,Quarter,Time,Tm,Detail,CIN,PIT
0,2.0,,Steelers,John Williams 13 yard pass from Neil O'Donnell (Gary Anderson kick),0,7
1,2.0,,Steelers,Ernie Mills 14 yard pass from Neil O'Donnell (Gary Anderson kick),0,14
2,3.0,,Bengals,Jeff Cothran 7 yard pass from Lee Johnson (Doug Pelfrey kick),7,14
3,4.0,,Bengals,Doug Pelfrey 47 yard field goal,10,14
