,Quarter,Tm,Detail,NYG,SIS
0,1.0,Giants,Ray Flaherty unknown yard pass from Bo Molenda (Hap Moran kick),7,0
1,1.0,Stapletons,Swede Hanson 35 yard rush (Stu Wilson kick),7,7
2,2.0,Giants,Jack McBride 20 yard rush,13,7
3,3.0,Stapletons,Stu Wilson 11 yard pass from Ken Strong,13,13
