,Quarter,Tm,Detail,SDG,CLE
0,1.0,Browns,Webster Slaughter 46 yard pass from Herman Fontenot (Mark Moseley kick),0,7
1,2.0,Browns,Kevin Mack 2 yard rush (Mark Moseley kick),0,14
2,2.0,Chargers,Wes Chandler 19 yard pass from Dan Fouts (Rolf Benirschke kick),7,14
3,2.0,Chargers,Rolf Benirschke 40 yard field goal,10,14
4,2.0,Browns,Brian Brennan 57 yard pass from Bernie Kosar,10,20
5,3.0,Browns,Harry Holt 1 yard pass from Bernie Kosar (Mark Moseley kick),10,27
6,3.0,Browns,Herman Fontenot 9 yard rush (Mark Moseley kick),10,34
7,3.0,Browns,Mark Moseley 37 yard field goal,10,37
8,3.0,Chargers,Gary Anderson 65 yard pass from Dan Fouts (Rolf Benirschke kick),17,37
9,4.0,Browns,Curtis Dickey 2 yard rush (Mark Moseley kick),17,44
10,4.0,Browns,Mark Moseley 32 yard field goal,17,47
