,Quarter,Tm,Detail,SFO,CHI
0,1.0,49ers,Ted Kwalick 2 yard pass from Steve Spurrier (Bruce Gossett kick),7,0
1,2.0,49ers,Ted Kwalick 16 yard pass from Steve Spurrier (Bruce Gossett kick),14,0
2,3.0,49ers,Gene Washington 43 yard pass from Steve Spurrier (Bruce Gossett kick),21,0
3,3.0,Bears,Bobby Douglass 2 yard rush (Mac Percival kick),21,7
4,3.0,49ers,Vic Washington 9 yard pass from Steve Spurrier,27,7
5,3.0,Bears,George Farmer 85 yard pass from Bobby Douglass (Mac Percival kick),27,14
6,4.0,Bears,Jim Seymour 35 yard pass from Bobby Douglass (Mac Percival kick),27,21
7,4.0,49ers,Larry Schreiber 64 yard pass from Steve Spurrier (Bruce Gossett kick),34,21
