,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,9:03,Bears,Robbie Gould 20 yard field goal,0,3
1,1.0,2:15,Lions,Jahvid Best 7 yard rush (Jason Hanson kick),7,3
2,2.0,1:30,Lions,Jahvid Best 4 yard rush (Jason Hanson kick),14,3
3,2.0,1:03,Bears,Matt Forte 89 yard pass from Jay Cutler (Robbie Gould kick),14,10
4,2.0,0:00,Bears,Robbie Gould 31 yard field goal,14,13
5,4.0,1:32,Bears,Matt Forte 28 yard pass from Jay Cutler (pass failed),14,19
