,Quarter,Tm,Detail,RAM,CRD
0,1.0,Rams,Johnny Drake 1 yard rush (Lew Bostick kick),7,0
1,2.0,Rams,Vic Spadaccini 8 yard pass from Parker Hall (Lew Bostick kick),14,0
2,4.0,Rams,Gaylon Smith 2 yard rush (Corby Davis kick),21,0
3,4.0,Rams,Corby Davis 27 yard field goal,24,0
