,Quarter,Tm,Detail,CHI,MIN
0,1.0,Bears,Ronnie Bull 33 yard rush (Roger LeClerc kick),7,0
1,1.0,Bears,Johnny Morris 14 yard pass from Rudy Bukich (Roger LeClerc kick),14,0
2,2.0,Vikings,Fred Cox 38 yard field goal,14,3
3,2.0,Vikings,Tommy Mason 4 yard rush (Fred Cox kick),14,10
4,2.0,Bears,Roger LeClerc 12 yard field goal,17,10
5,2.0,Vikings,Fred Cox 40 yard field goal,17,13
6,3.0,Vikings,Fred Cox 28 yard field goal,17,16
7,3.0,Vikings,Bill Brown 40 yard rush (Fred Cox kick),17,23
8,3.0,Bears,Gale Sayers 18 yard pass from Rudy Bukich (Roger LeClerc kick),24,23
9,4.0,Vikings,Fran Tarkenton 2 yard rush (Fred Cox kick),24,30
10,4.0,Bears,Gale Sayers 25 yard pass from Rudy Bukich (Roger LeClerc kick),31,30
11,4.0,Vikings,Tommy Mason 4 yard rush (Fred Cox kick),31,37
12,4.0,Bears,Gale Sayers 96 yard kickoff return (Roger LeClerc kick),38,37
13,4.0,Bears,Gale Sayers 10 yard rush (Roger LeClerc kick),45,37
