,Quarter,Time,Tm,Detail,SEA,SDG
0,1.0,10:05,Seahawks,Kris Heppner 25 yard field goal,3,0
1,1.0,3:37,Chargers,John Carney 41 yard field goal,3,3
2,1.0,1:04,Chargers,John Carney 28 yard field goal,3,6
3,1.0,0:05,Seahawks,Darrell Jackson 68 yard pass from Jon Kitna (Kris Heppner kick),10,6
4,2.0,3:56,Chargers,John Carney 24 yard field goal,10,9
5,2.0,0:36,Seahawks,Kris Heppner 26 yard field goal,13,9
6,2.0,0:00,Chargers,John Carney 45 yard field goal,13,12
7,3.0,6:50,Seahawks,Willie Williams 69 yard interception return (Kris Heppner kick),20,12
