,Quarter,Tm,Detail,STL,NOR
0,1.0,Saints,Morten Andersen 25 yard field goal,0,3
1,1.0,Saints,Wayne Wilson 34 yard pass from Hokie Gajan (Morten Andersen kick),0,10
2,2.0,Cardinals,Earl Ferrell 11 yard pass from Neil Lomax (Neil O'Donoghue kick),7,10
3,2.0,Saints,Morten Andersen 29 yard field goal,7,13
4,3.0,Cardinals,Stump Mitchell 7 yard rush (Neil O'Donoghue kick),14,13
5,3.0,Saints,Hoby Brenner 15 yard pass from Richard Todd (Morten Andersen kick),14,20
6,4.0,Cardinals,Stump Mitchell 22 yard rush (Neil O'Donoghue kick),21,20
7,4.0,Cardinals,Neil O'Donoghue 39 yard field goal,24,20
8,4.0,Saints,Wayne Wilson 30 yard pass from Richard Todd (Morten Andersen kick),24,27
9,4.0,Saints,Frank Wattelet 22 yard defensive fumble return (Morten Andersen kick),24,34
