,Quarter,Tm,Detail,AKR,FRN
0,1.0,Yellow Jackets,Rae Crowther 55 yard pass from Hust Stockton (Bull Behman kick),0,7
1,1.0,Yellow Jackets,Bull Behman 20 yard field goal,0,10
2,2.0,Yellow Jackets,Rae Crowther unknown yard pass from Tex Hamer (Bull Behman kick),0,17
3,4.0,Pros,Dunc Annan 1 yard rush (Obie Newman kick),7,17
