,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Ron Davenport 7 yard pass from Dan Marino (Fuad Reveiz kick),7,0
1,2.0,Dolphins,Dan Johnson 15 yard pass from Dan Marino (Fuad Reveiz kick),14,0
2,2.0,Bills,Andre Reed 11 yard pass from Bruce Mathison (Scott Norwood kick),14,7
3,3.0,Bills,Jerry Butler 60 yard pass from Bruce Mathison (Scott Norwood kick),14,14
4,3.0,Dolphins,Fuad Reveiz 22 yard field goal,17,14
5,4.0,Dolphins,Tony Nathan 4 yard rush,23,14
