,Quarter,Time,Tm,Detail,BUF,JAX
0,2.0,2:58,Bills,Jake Arians 30 yard field goal,3,0
1,3.0,12:06,Jaguars,Kyle Brady 20 yard pass from Mark Brunell (Mike Hollis kick),3,7
2,3.0,7:01,Bills,Eric Moulds 27 yard pass from Rob Johnson (Jake Arians kick),10,7
3,4.0,3:54,Jaguars,Mike Hollis 41 yard field goal,10,10
4,4.0,1:03,Bills,Jake Arians 46 yard field goal,13,10
