,Quarter,Tm,Detail,SDG,CHI
0,2.0,Bears,Dick Gordon 11 yard pass from Jack Concannon (Mac Percival kick),0,7
1,2.0,Chargers,Russ Smith 1 yard rush (Mike Mercer kick),7,7
2,3.0,Chargers,Gary Garrison 14 yard pass from John Hadl (Mike Mercer kick),14,7
3,3.0,Chargers,Gary Garrison 33 yard pass from John Hadl,20,7
