,Quarter,Time,Tm,Detail,TEN,SEA
0,1.0,,Oilers,Al Del Greco 37 yard field goal,3,0
1,2.0,,Oilers,Eddie George 11 yard pass from Steve McNair (Al Del Greco kick),10,0
2,3.0,,Seahawks,Todd Peterson 38 yard field goal,10,3
3,3.0,6:58,Seahawks,Steve Broussard 77 yard rush (Todd Peterson kick),10,10
4,4.0,6:58,Seahawks,Steve Broussard 43 yard rush,10,16
5,4.0,6:58,Oilers,Al Del Greco 43 yard field goal,13,16
