,Quarter,Time,Tm,Detail,SDG,IND
0,1.0,8:53,Colts,Adam Vinatieri 38 yard field goal,0,3
1,1.0,3:39,Colts,Frank Gore 6 yard rush (Adam Vinatieri kick),0,10
2,2.0,14:51,Chargers,Josh Lambo 42 yard field goal,3,10
3,2.0,14:04,Chargers,Josh Lambo 34 yard field goal,6,10
4,2.0,6:25,Colts,Adam Vinatieri 33 yard field goal,6,13
5,2.0,0:55,Chargers,Caraun Reid 61 yard defensive fumble return (Josh Lambo kick),13,13
6,3.0,8:23,Chargers,Melvin Gordon 1 yard rush (Josh Lambo kick failed),19,13
7,3.0,2:39,Colts,Robert Turbin 1 yard rush (Adam Vinatieri kick),19,20
8,4.0,7:34,Chargers,Josh Lambo 27 yard field goal,22,20
9,4.0,1:17,Colts,T.Y. Hilton 63 yard pass from Andrew Luck (pass failed),22,26
