,Quarter,Time,Tm,Detail,GNB,DET
0,2.0,14:51,Lions,David Akers 27 yard field goal,0,3
1,2.0,12:41,Packers,Mason Crosby 54 yard field goal,3,3
2,2.0,12:33,Packers,Morgan Burnett 1 yard defensive fumble return (Mason Crosby kick),10,3
3,2.0,4:33,Lions,Jeremy Ross 5 yard pass from Matthew Stafford (David Akers kick),10,10
4,2.0,1:22,Lions,Reggie Bush 1 yard rush (David Akers kick),10,17
5,3.0,9:08,Lions,Calvin Johnson 20 yard pass from Matthew Stafford (David Akers kick),10,24
6,3.0,0:53,Lions,"Safety, Matt Flynn sacked in the end zone by Ndamukong Suh.",10,26
7,4.0,13:06,Lions,Joique Bell 1 yard rush (David Akers kick),10,33
8,4.0,4:17,Lions,Kevin Ogletree 20 yard pass from Matthew Stafford (David Akers kick),10,40
