,Quarter,Tm,Detail,SEA,RAM
0,1.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),0,7
1,1.0,Rams,Mike Lansford 39 yard field goal,0,10
2,2.0,Seahawks,Norm Johnson 33 yard field goal,3,10
3,2.0,Rams,Robert Delpino 37 yard pass from Jim Everett (Mike Lansford kick),3,17
4,2.0,Rams,Damone Johnson 1 yard pass from Jim Everett (Mike Lansford kick),3,24
5,3.0,Rams,Aaron Cox 32 yard pass from Jim Everett (Mike Lansford kick),3,31
6,4.0,Seahawks,Vernon Dean 62 yard blocked field goal return (Norm Johnson kick),10,31
