,Quarter,Time,Tm,Detail,CIN,NWE
0,1.0,5:08,Patriots,Corey Dillon 1 yard rush (Adam Vinatieri kick),0,7
1,2.0,10:03,Bengals,Matt Schobel 2 yard pass from Carson Palmer (Shayne Graham kick),7,7
2,2.0,8:31,Patriots,David Patten 48 yard pass from Tom Brady (Adam Vinatieri kick),7,14
3,2.0,8:19,Patriots,Asante Samuel 34 yard interception return (Adam Vinatieri kick),7,21
4,2.0,2:31,Bengals,Chad Johnson 5 yard pass from Carson Palmer (Shayne Graham kick),14,21
5,2.0,0:22,Patriots,Kevin Faulk 4 yard rush (Adam Vinatieri kick),14,28
6,3.0,9:14,Patriots,Christian Fauria 17 yard pass from Tom Brady (Adam Vinatieri kick),14,35
7,3.0,3:10,Bengals,Kyle Larson 11 yard rush (Shayne Graham kick),21,35
8,4.0,3:50,Bengals,Kelley Washington 27 yard pass from Jon Kitna (Shayne Graham kick),28,35
