,Quarter,Tm,Detail,GNB,SFO
0,1,Packers,Chester Marcol 43 yard field goal,3,0
1,3,Packers,Chester Marcol 29 yard field goal,6,0
2,4,49ers,Delvin Williams 2 yard rush (Bruce Gossett kick),6,7
